seed,completed,t_leak,t_first_det,t_consensus,t_reported,patrol_steps,investigate_steps,fuse_steps,total_steps,err_x,err_y,err,in_tolerance_50,in_tolerance_25,lam2_mean,lam2_min,lam2_zero_pct,comm_radius,exploration,n_degraded,robots_alive_end
2065,True,199,247,379,409,48,132,30,210,29.640697783611444,38.356395831042136,48.47457133639219,True,False,1.0476190476190477,0.0,52.857142857142854,500,lloyd,0,5
2066,True,199,605,701,731,406,96,30,532,41.04204126651675,10.375875467694527,42.33329591519622,True,False,1.4710946551279358,0.0,7.518796992481203,500,lloyd,0,5
2067,True,199,229,327,357,30,98,30,158,6.517925514082776,9.982684842742344,11.92213695931434,True,True,3.6578871907015014,1.5857864376269044,0.0,500,lloyd,0,5
2068,True,199,466,549,595,267,83,46,396,34.107234540673176,8.572060871468295,35.16793533315038,True,False,1.7645065831864344,0.5188056959079839,0.0,500,lloyd,0,5
2069,True,199,275,396,426,76,121,30,227,20.876284203233183,33.102247404234845,39.13538073591895,True,False,3.059795564444082,0.999999999999999,0.0,500,lloyd,0,5
2070,True,199,604,750,785,405,146,35,586,-3.2610584961033737,9.220718676926566,9.78039648654544,True,True,1.090044367111958,0.0,10.921501706484642,500,lloyd,0,5
2071,True,199,257,389,419,58,132,30,220,25.427152466713494,8.819846786873882,26.913375483380445,True,False,3.024838298512399,0.0,5.909090909090909,500,lloyd,0,5
2072,True,199,220,299,340,21,79,41,141,20.851840881376233,13.894673267588445,25.057158924252967,True,False,3.0,3.0,0.0,500,lloyd,0,5
2073,True,199,200,304,334,1,104,30,135,9.483997178807016,3.2605042684689636,10.028813019112668,True,True,0.9818277437086598,0.3819660112501052,0.0,500,lloyd,0,5
2074,True,199,275,424,454,76,149,30,255,-7.634137508266008,30.88380345821966,31.813352095323978,True,False,1.8974607428936803,0.8299135133739675,0.0,500,lloyd,0,5
2075,True,199,501,616,646,302,115,30,447,4.66384988394833,-22.62067318697791,23.096457545954234,True,True,2.6417151207936134,0.518805695907983,0.0,500,lloyd,0,5
2076,True,199,200,381,411,1,181,30,212,-12.571597466280537,-9.78482153832229,15.930718608744773,True,True,1.3726415094339623,0.0,15.566037735849056,500,lloyd,0,5
2077,True,199,275,436,466,76,161,30,267,-22.611986632717276,-3.6119418979880606,22.898647640256538,True,True,3.8689138576779007,2.999999999999999,0.0,500,lloyd,0,5
2078,True,199,200,311,341,1,111,30,142,15.054935339872713,8.420716941674641,17.249914547601524,True,True,4.046378777729764,0.9999999999999999,0.0,500,lloyd,0,5
2079,True,199,376,448,478,177,72,30,279,-6.388983157322741,12.570050668318231,14.100541818974238,True,True,3.6457762468647075,1.585786437626905,0.0,500,lloyd,0,5
2080,True,199,200,332,383,1,132,51,184,22.044420877180983,15.61902214218702,27.01685297158833,True,False,3.2796125146772237,0.8299135133739661,0.0,500,lloyd,0,5
2081,True,199,213,434,464,14,221,30,265,13.829807733037342,-4.686240706221724,14.602206473318645,True,True,0.30984234347303563,3.2612801348363973e-16,66.0377358490566,500,lloyd,0,5
2082,True,199,216,340,370,17,124,30,171,-0.7815154753466231,-16.86351796171897,16.881617353897838,True,True,0.8152201960255668,0.5188056959079829,0.0,500,lloyd,0,5
2083,True,199,353,488,518,154,135,30,319,9.705943250121038,-6.4306534325595806,11.642965169760686,True,True,2.328950475885815,0.3819660112501052,0.0,500,lloyd,0,5
2084,True,199,203,268,298,4,65,30,99,-2.1668527536387785,-3.9967876779448375,4.546379064543963,True,True,0.0,0.0,100.0,500,lloyd,0,5
2085,True,199,285,441,471,86,156,30,272,14.624642265617666,16.078627421595115,21.73482047682384,True,True,0.9249689617195868,0.0,2.573529411764706,500,lloyd,0,5
2086,True,199,428,525,555,229,97,30,356,6.790875229247604,-14.658410822716178,16.155029997704474,True,True,1.0888714890105788,0.5188056959079844,0.0,500,lloyd,0,5
2087,True,199,318,565,595,119,247,30,396,1.1352310651815287,-4.926934737966064,5.056029616559808,True,True,2.7754083159539698,0.0,1.7676767676767677,500,lloyd,0,5
2088,True,199,204,407,437,5,203,30,238,10.007660808855547,10.488068765351528,14.49665000239178,True,True,0.875975286100603,0.5188056959079843,0.0,500,lloyd,0,5
2089,True,199,219,380,412,20,161,32,213,6.510397670238376,17.844463165021267,18.995003118516355,True,True,0.7338899475242405,0.0,40.84507042253521,500,lloyd,0,5
2090,True,199,241,273,317,42,32,44,118,12.950039642116224,9.608440979498596,16.12531130827835,True,True,3.2877827918615017,1.5857864376269053,0.0,500,lloyd,0,5
2091,True,199,281,397,441,82,116,44,242,35.937269775355276,-0.14417768464937808,35.93755898932779,True,False,0.455776962222128,0.0,16.94214876033058,500,lloyd,0,5
2092,True,199,380,471,501,181,91,30,302,10.9465185549044,6.2573517734605275,12.60875567570789,True,True,3.0349351930690687,1.381966011250105,0.0,500,lloyd,0,5
2093,True,199,568,687,717,369,119,30,518,-5.337093731407208,18.76967321697373,19.51371830712453,True,True,1.5426886800007862,0.0,14.285714285714286,500,lloyd,0,5
2094,True,199,265,390,420,66,125,30,221,41.02103018730895,-4.613364953684709,41.27963243324725,True,False,0.37049407961697783,0.0,38.009049773755656,500,lloyd,0,5
2095,True,199,200,345,379,1,145,34,180,10.932840743825636,-2.1737374738332846,11.146844456392177,True,True,3.097589726442963,0.8299135133739672,0.0,500,lloyd,0,5
2096,True,199,287,413,443,88,126,30,244,16.121356778073277,-3.203834440997298,16.43662676741337,True,True,0.8803211183464258,0.0,11.475409836065573,500,lloyd,0,5
2097,True,199,347,520,550,148,173,30,351,18.58430562428009,0.5578271040566278,18.592675617421737,True,True,1.1161245838842488,0.0,22.79202279202279,500,lloyd,0,5
2098,True,199,462,633,663,263,171,30,464,24.849291251622674,33.40325150016575,41.632493157283974,True,False,2.4896451339691863,0.8299135133739662,0.0,500,lloyd,0,5
2099,True,199,305,435,468,106,130,33,269,2.5080906082292245,-8.57568581801985,8.934926174763527,True,True,2.8207847381625824,0.5188056959079838,0.0,500,lloyd,0,5
